3.497993431840973777e+00,9.624977711213953402e-01,-1.262830809041190494e-01
3.397887024945975387e+00,2.618996562327868816e-01,6.445186905594892934e-01
3.358988242573813121e+00,-1.259746833893495566e-01,-3.259445439697811198e-01
3.959451075834933498e+00,-6.590854304992274093e-01,3.430385999786697560e-01
4.342020581325520823e+00,2.704411983080258208e-01,5.903082379495219745e-02
4.355108824147450264e+00,-4.540799991692782145e-01,-6.934716898510350225e-01
5.037283438300053540e+00,-6.135499117775414790e-01,8.155263982269432554e-02
5.261026924808683169e+00,1.857566527241622245e-01,-5.556958211311411322e-01
5.363245246409672262e+00,3.827482556883092801e-01,4.670942124667850082e-01
6.090496858643470013e+00,-2.464517317726200585e-01,5.629619733943896920e-02
